Endpoint,Content-Type,Property Name,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
DELETE /accounts/{accountId}/relationships/customers,application/vnd.api+json,data,array,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
DELETE /customers/{customerId}/authorized-users,application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /accounts/{accountId}/transactions/{transactionId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /applications/{applicationId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /beneficial-owner/{beneficialOwnerId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /cards/{cardId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /check-deposits/{checkDepositId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /counterparties/{counterpartyId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /customers/{customerId},application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
PATCH /payments/{paymentId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /received-payments/{paymentId},application/vnd.api+json,data,object,N/A,N/A,Yes,N/A,N/A,,N/A,N/A
PATCH /webhooks/{webhookId},application/vnd.api+json,data,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
POST /account/addEntitlement,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/addEntitlement,application/json,entitlement,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/addEntitlement,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/addEntitlement,application/json,targetCustomerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/close,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/close,application/json,closeReason,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/close,application/json,closeReasonNotes,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/close,application/json,closeToAccountId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/close,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/close,application/json,transactionTag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,accountMinimumBalance,N/A,N/A,number,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,accountNumber,N/A,N/A,string,N/A,N/A,No,N/A,N/A,"If none specified, Helix will automatically assign an account number. **Note:** Custom account numbers requires approval from Q2 and your bank partner. Custom account numbers must be numeric."
POST /account/create,application/json,category,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,customField1,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,customField2,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,customField3,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,customField4,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,customField5,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/create,application/json,isclosable,N/A,N/A,boolean,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,legalName1,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,legalName2,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,name,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,
POST /account/create,application/json,productId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/create,application/json,recurringContributionAmount,N/A,N/A,number,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,recurringContributionEndDate,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,recurringContributionFromExternalAccountId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,recurringContributionStartDate,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,recurringContributionType,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,subcategory,N/A,N/A,string,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,tag,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/create,application/json,targetDate,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/editEntitlement,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/editEntitlement,application/json,entitlement,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/editEntitlement,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/editEntitlement,application/json,targetCustomerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/limit/delete,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/limit/delete,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/limit/delete,application/json,limitIds,N/A,N/A,array,N/A,N/A,Yes,N/A,N/A,"An array of up to 16 <a href=""https://docs.helix.q2.com/docs/account-limit"" target=""_blank"">accountLimit.limitId</a>s to remove from the account"
POST /account/limit/set,application/json,limits,N/A,N/A,array,N/A,N/A,Yes,N/A,N/A,"An array of up to 16 <a href=""https://docs.helix.q2.com/docs/account-limit"" target=""_blank"">accountLimit</a> objects to create or update"
POST /account/lock,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/lock,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/lock,application/json,lockReasonTypeCode,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/lock,application/json,lockTypeCode,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,"- `CST`: Customer Locked
- `SYS`: System Locked
"
POST /account/placeHold,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/placeHold,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/placeHold,application/json,expirationDate,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
POST /account/placeHold,application/json,holdAmount,N/A,N/A,number,N/A,N/A,Yes,N/A,N/A,The dollar amount of funds to place on hold
POST /account/placeHold,application/json,holdDescription,N/A,N/A,string,N/A,N/A,Yes,N/A,N/A,Free-form description for why the hold is being placed
POST /account/releaseHold,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/releaseHold,application/json,customerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/removeEntitlement,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/removeEntitlement,application/json,requestingCustomerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/removeEntitlement,application/json,targetCustomerId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/stopPay/createCheckStopPay,application/json,accountId,N/A,N/A,object,N/A,N/A,Yes,N/A,N/A,
POST /account/stopPay/createCheckStopPay,application/json,amountMaximum,N/A,N/A,number,N/A,N/A,Yes,N/A,N/A,
POST /account/stopPay/createCheckStopPay,application/json,amountMinimum,N/A,N/A,number,N/A,N/A,Yes,N/A,N/A,
POST /account/stopPay/createCheckStopPay,application/json,checkDateWritten,N/A,N/A,object,N/A,N/A,No,N/A,N/A,
