Method,Path,combined_unit_openapi,increase_openapi
DELETE,/accounts/{accountId}/relationships/customers,✓,✗
DELETE,/counterparties/{counterpartyId},✓,✗
DELETE,/customers/{customerId}/authorized-users,✓,✗
DELETE,/users/{userId}/api-tokens/{tokenId},✓,✗
GET,/account-end-of-day,✓,✗
GET,/account_numbers,✗,✓
GET,/account_numbers/{account_number_id},✗,✓
GET,/account_statements,✗,✓
GET,/account_statements/{account_statement_id},✗,✓
GET,/account_transfers,✗,✓
GET,/account_transfers/{account_transfer_id},✗,✓
GET,/accounts,✓,✓
GET,/accounts/{accountId},✓,✗
GET,/accounts/{accountId}/deposit-products,✓,✗
GET,/accounts/{accountId}/limits,✓,✗
GET,/accounts/{accountId}/repayment-information,✓,✗
GET,/accounts/{accountId}/transactions/{transactionId},✓,✗
GET,/accounts/{account_id},✗,✓
GET,/accounts/{account_id}/balance,✗,✓
GET,/accounts/{account_id}/intrafi_balance,✗,✓
GET,/ach_prenotifications,✗,✓
GET,/ach_prenotifications/{ach_prenotification_id},✗,✓
GET,/ach_transfers,✗,✓
GET,/ach_transfers/{ach_transfer_id},✗,✓
GET,/application-forms,✓,✗
GET,/application-forms/{applicationFormId},✓,✗
GET,/applications,✓,✗
GET,/applications/{applicationId},✓,✗
GET,/applications/{applicationId}/documents,✓,✗
GET,/applications/{applicationId}/documents/{documentId}/download,✓,✗
GET,/applications/{applicationId}/documents/{documentId}/download/back,✓,✗
GET,/atm-locations,✓,✗
GET,/authorization-requests,✓,✗
GET,/authorization-requests/{authorizationId},✓,✗
GET,/authorizations,✓,✗
GET,/authorizations/{authorizationId},✓,✗
GET,/bookkeeping_accounts,✗,✓
GET,/bookkeeping_accounts/{bookkeeping_account_id}/balance,✗,✓
GET,/bookkeeping_entries,✗,✓
GET,/bookkeeping_entries/{bookkeeping_entry_id},✗,✓
GET,/bookkeeping_entry_sets,✗,✓
GET,/bookkeeping_entry_sets/{bookkeeping_entry_set_id},✗,✓
GET,/card_payments,✗,✓
GET,/card_payments/{card_payment_id},✗,✓
GET,/card_purchase_supplements,✗,✓
GET,/card_purchase_supplements/{card_purchase_supplement_id},✗,✓
GET,/card_push_transfers,✗,✓
GET,/card_push_transfers/{card_push_transfer_id},✗,✓
GET,/card_tokens,✗,✓
GET,/card_tokens/{card_token_id},✗,✓
GET,/card_tokens/{card_token_id}/capabilities,✗,✓
GET,/card_validations,✗,✓
GET,/card_validations/{card_validation_id},✗,✓
GET,/cards,✓,✓
GET,/cards/{cardId},✓,✗
GET,/cards/{cardId}/limits,✓,✗
GET,/cards/{cardId}/secure-data/pin/status,✓,✗
GET,/cards/{card_id},✗,✓
GET,/cards/{card_id}/details,✗,✓
GET,/cash-deposits/barcodes/{barcodeNumber}/image,✓,✗
GET,/check-deposits,✓,✗
GET,/check-deposits/{checkDepositId},✓,✗
GET,/check-deposits/{checkDepositId}/back,✓,✗
GET,/check-deposits/{checkDepositId}/front,✓,✗
GET,/check-payments,✓,✗
GET,/check-payments/{checkPaymentId},✓,✗
GET,/check-payments/{checkPaymentId}/back,✓,✗
GET,/check-payments/{checkPaymentId}/front,✓,✗
GET,/check_deposits,✗,✓
GET,/check_deposits/{check_deposit_id},✗,✓
GET,/check_transfers,✗,✓
GET,/check_transfers/{check_transfer_id},✗,✓
GET,/counterparties,✓,✗
GET,/counterparties/{counterpartyId},✓,✗
GET,/counterparties/{counterpartyId}/balance,✓,✗
GET,/customers,✓,✗
GET,/customers/{customerId},✓,✗
GET,/declined_transactions,✗,✓
GET,/declined_transactions/{declined_transaction_id},✗,✓
GET,/digital_card_profiles,✗,✓
GET,/digital_card_profiles/{digital_card_profile_id},✗,✓
GET,/digital_wallet_tokens,✗,✓
GET,/digital_wallet_tokens/{digital_wallet_token_id},✗,✓
GET,/disputes,✓,✗
GET,/disputes/{disputeId},✓,✗
GET,/documents,✗,✓
GET,/documents/{document_id},✗,✓
GET,/entities,✗,✓
GET,/entities/{entity_id},✗,✓
GET,/entity_supplemental_documents,✗,✓
GET,/event_subscriptions,✗,✓
GET,/event_subscriptions/{event_subscription_id},✗,✓
GET,/events,✓,✓
GET,/events/{eventId},✓,✗
GET,/events/{event_id},✗,✓
GET,/exports,✗,✓
GET,/exports/{export_id},✗,✓
GET,/external_accounts,✗,✓
GET,/external_accounts/{external_account_id},✗,✓
GET,/files,✗,✓
GET,/files/{file_id},✗,✓
GET,/groups/current,✗,✓
GET,/inbound_ach_transfers,✗,✓
