Endpoint,Parameter Name,Location,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Required,increase_openapi - Required,q2_openapi - Required,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
DELETE /accounts/{accountId}/relationships/customers,accountId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the account to add owners to,N/A,N/A
DELETE /counterparties/{counterpartyId},counterpartyId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the counterparty to delete,N/A,N/A
DELETE /customers/{customerId}/authorized-users,customerId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the customer to remove authorized users from,N/A,N/A
DELETE /users/{userId}/api-tokens/{tokenId},tokenId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the token to revoke,N/A,N/A
DELETE /users/{userId}/api-tokens/{tokenId},userId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the user to revoke token,N/A,N/A
GET /account-end-of-day,filter,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /account-end-of-day,page,query,object,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /account/get/{customerId}/{accountId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /account/getByTag/{customerId}/{tag},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /account/limit/list/{customerId}/{accountId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /account/list/{customerId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /account/listEntitlements/{customerId}/{accountId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /account/listEntitlements/{customerId}/{accountId},includeInactive,query,N/A,N/A,boolean,N/A,N/A,No,N/A,N/A,
GET /account/stopPay/list/{customerId}/{accountId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /account/stopPay/list/{customerId}/{accountId},beginDate,query,N/A,N/A,string,N/A,N/A,No,N/A,N/A,Format is YYYY-MM-DD
GET /account/stopPay/list/{customerId}/{accountId},endDate,query,N/A,N/A,string,N/A,N/A,No,N/A,N/A,Format is YYYY-MM-DD
GET /accountBeneficiary/get/{customerId}/{accountId}/{customerBeneficiaryId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /accountBeneficiary/get/{customerId}/{accountId}/{customerBeneficiaryId},customerBeneficiaryId,path,N/A,N/A,,N/A,N/A,Yes,N/A,N/A,
GET /accountBeneficiary/list/{customerId}/{accountId},,,N/A,N/A,,N/A,N/A,No,N/A,N/A,
GET /account_numbers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,ach_debit_status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /account_numbers/{account_number_id},account_number_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /account_statements,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_statements,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_statements,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /account_statements,statement_period_start.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_statements,statement_period_start.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_statements,statement_period_start.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_statements,statement_period_start.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_statements/{account_statement_id},account_statement_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /account_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /account_transfers/{account_transfer_id},account_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /accounts,created_at.after,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,created_at.before,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,created_at.on_or_after,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,created_at.on_or_before,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,cursor,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,entity_id,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,filter,query,object,✗,N/A,No,No,N/A,,✗,N/A
GET /accounts,idempotency_key,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,include,query,string,✗,N/A,No,No,N/A,,✗,N/A
GET /accounts,informational_entity_id,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,limit,query,✗,integer,N/A,No,No,N/A,✗,,N/A
GET /accounts,page,query,object,✗,N/A,No,No,N/A,,✗,N/A
GET /accounts,program_id,query,✗,string,N/A,No,No,N/A,✗,,N/A
GET /accounts,status.in,query,✗,array,N/A,No,No,N/A,✗,,N/A
GET /accounts/{accountId},accountId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the account to get,N/A,N/A
GET /accounts/{accountId},include,query,string,N/A,N/A,No,N/A,N/A,,N/A,N/A
GET /accounts/{accountId}/deposit-products,accountId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the account to get deposit products for,N/A,N/A
GET /accounts/{accountId}/limits,accountId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the account to get,N/A,N/A
GET /accounts/{accountId}/repayment-information,accountId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the account to get repayment information for,N/A,N/A
GET /accounts/{accountId}/transactions/{transactionId},accountId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the account to get transaction from,N/A,N/A
GET /accounts/{accountId}/transactions/{transactionId},transactionId,path,string,N/A,N/A,Yes,N/A,N/A,ID of the transaction,N/A,N/A
GET /accounts/{account_id},account_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /accounts/{account_id}/balance,account_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /accounts/{account_id}/balance,at_time,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /accounts/{account_id}/intrafi_balance,account_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /ach_prenotifications,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_prenotifications,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_prenotifications,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_prenotifications,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_prenotifications,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_prenotifications,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_prenotifications,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_prenotifications/{ach_prenotification_id},ach_prenotification_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
GET /ach_transfers,account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,created_at.after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,created_at.before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,created_at.on_or_after,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,created_at.on_or_before,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,cursor,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,external_account_id,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,idempotency_key,query,N/A,string,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,limit,query,N/A,integer,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers,status.in,query,N/A,array,N/A,N/A,No,N/A,N/A,,N/A
GET /ach_transfers/{ach_transfer_id},ach_transfer_id,path,N/A,string,N/A,N/A,Yes,N/A,N/A,,N/A
