Path,combined_unit_openapi,increase_openapi,q2_openapi
/account-end-of-day,GET,✗,✗
/account/addEntitlement,✗,✗,POST
/account/close,✗,✗,POST
/account/create,✗,✗,POST
/account/editEntitlement,✗,✗,POST
/account/get/{customerId}/{accountId},✗,✗,GET
/account/getByTag/{customerId}/{tag},✗,✗,GET
/account/limit/delete,✗,✗,POST
/account/limit/list/{customerId}/{accountId},✗,✗,GET
/account/limit/set,✗,✗,POST
/account/list/{customerId},✗,✗,GET
/account/listEntitlements/{customerId}/{accountId},✗,✗,GET
/account/lock,✗,✗,POST
/account/placeHold,✗,✗,POST
/account/releaseHold,✗,✗,POST
/account/removeEntitlement,✗,✗,POST
/account/stopPay/createCheckStopPay,✗,✗,POST
/account/stopPay/expire,✗,✗,POST
/account/stopPay/list/{customerId}/{accountId},✗,✗,GET
/account/unlock,✗,✗,POST
/account/update,✗,✗,POST
/accountBeneficiary/add,✗,✗,POST
/accountBeneficiary/edit,✗,✗,POST
/accountBeneficiary/get/{customerId}/{accountId}/{customerBeneficiaryId},✗,✗,GET
/accountBeneficiary/list/{customerId}/{accountId},✗,✗,GET
/accountBeneficiary/remove,✗,✗,POST
/account_numbers,✗,"GET, POST",✗
/account_numbers/{account_number_id},✗,"GET, PATCH",✗
/account_statements,✗,GET,✗
/account_statements/{account_statement_id},✗,GET,✗
/account_transfers,✗,"GET, POST",✗
/account_transfers/{account_transfer_id},✗,GET,✗
/account_transfers/{account_transfer_id}/approve,✗,POST,✗
/account_transfers/{account_transfer_id}/cancel,✗,POST,✗
/accounts,"GET, POST","GET, POST",✗
/accounts/{accountId},"GET, PATCH",✗,✗
/accounts/{accountId}/activate-daca,POST,✗,✗
/accounts/{accountId}/close,POST,✗,✗
/accounts/{accountId}/deactivate-daca,POST,✗,✗
/accounts/{accountId}/deposit-products,GET,✗,✗
/accounts/{accountId}/enter-daca,POST,✗,✗
/accounts/{accountId}/freeze,POST,✗,✗
/accounts/{accountId}/limits,GET,✗,✗
