Endpoint,Status Code,Content-Type,Property Name,combined_unit_openapi - Type,increase_openapi - Type,q2_openapi - Type,combined_unit_openapi - Description,increase_openapi - Description,q2_openapi - Description
DELETE /accounts/{accountId}/relationships/customers,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
DELETE /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
DELETE /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
DELETE /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
DELETE /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
DELETE /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
DELETE /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
DELETE /accounts/{accountId}/relationships/customers,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
DELETE /customers/{customerId}/authorized-users,200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
DELETE /users/{userId}/api-tokens/{tokenId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /account-end-of-day,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /account-end-of-day,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
GET /account-end-of-day,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
GET /account-end-of-day,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
GET /account-end-of-day,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /account-end-of-day,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
GET /account-end-of-day,default,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
GET /account-end-of-day,default,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
GET /accounts,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /accounts,200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /accounts,200,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /accounts,401,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
GET /accounts,401,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
GET /accounts,401,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
GET /accounts,401,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /accounts,401,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
GET /accounts,401,application/vnd.api+json; charset=utf-8,status,string,N/A,N/A,,N/A,N/A
GET /accounts,401,application/vnd.api+json; charset=utf-8,title,string,N/A,N/A,,N/A,N/A
GET /accounts/{accountId},200,application/vnd.api+json; charset=utf-8,data,object,N/A,N/A,,N/A,N/A
GET /accounts/{accountId},200,application/vnd.api+json; charset=utf-8,included,array,N/A,N/A,,N/A,N/A
GET /accounts/{accountId}/deposit-products,200,application/vnd.api+json; charset=utf-8,data,array,N/A,N/A,,N/A,N/A
GET /accounts/{accountId}/deposit-products,default,application/vnd.api+json; charset=utf-8,code,string,N/A,N/A,,N/A,N/A
GET /accounts/{accountId}/deposit-products,default,application/vnd.api+json; charset=utf-8,detail,string,N/A,N/A,,N/A,N/A
GET /accounts/{accountId}/deposit-products,default,application/vnd.api+json; charset=utf-8,details,string,N/A,N/A,,N/A,N/A
GET /accounts/{accountId}/deposit-products,default,application/vnd.api+json; charset=utf-8,meta,object,N/A,N/A,,N/A,N/A
GET /accounts/{accountId}/deposit-products,default,application/vnd.api+json; charset=utf-8,source,object,N/A,N/A,,N/A,N/A
